taxid	ert_mic	ert_int	ert_cat
EC112_contigs	<=0.125	0-0.125	S
EC119_contigs	<=0.125	0-0.125	S
EC143_contigs	<=0.125	0-0.125	S
EC153_contigs	2	2.0-2.0	R
EC15_contigs	<=0.125	0-0.125	S
EC16_contigs	<=0.125	0-0.125	S
EC174_contigs	<=0.125	0-0.125	S
EC17_contigs	<=0.125	0-0.125	S
EC19_contigs	<=0.125	0-0.125	S
EC21_contigs	<=0.125	0-0.125	S
EC223_contigs	<=0.125	0-0.125	S
EC227_contigs	<=0.125	0-0.125	S
EC26_contigs	<=0.125	0-0.125	S
EC30_contigs	<=0.125	0-0.125	S
EC31_contigs	<=0.125	0-0.125	S
EC34_contigs	<=0.125	0-0.125	S
EC36_contigs	<=0.125	0-0.125	S
EC53_contigs	<=0.125	0-0.125	S
EC68_contigs	<=0.125	0-0.125	S
EC72_contigs	<=0.125	0-0.125	S
EC73_contigs	<=0.125	0-0.125	S
EC75_contigs	<=0.125	0-0.125	S
EC76_contigs	<=0.125	0-0.125	S
EC90_contigs	<=0.125	0-0.125	S
EC9_contigs	<=0.125	0-0.125	S
