taxid	sxt_mic	sxt_int	sxt_cat
EC112_contigs	>=8/152	8.0-Inf	R
EC119_contigs	>=8/152	8.0-Inf	R
EC143_contigs	>=8/152	8.0-Inf	R
EC153_contigs	<=1/19	0-1.0	S
EC15_contigs	>=8/152	8.0-Inf	R
EC16_contigs	>=8/152	8.0-Inf	R
EC174_contigs	>=8/152	8.0-Inf	R
EC17_contigs	>=8/152	8.0-Inf	R
EC19_contigs	>=8/152	8.0-Inf	R
EC21_contigs	>=8/152	8.0-Inf	R
EC223_contigs	>=8/152	8.0-Inf	R
EC227_contigs	>=8/152	8.0-Inf	R
EC26_contigs	>=8/152	8.0-Inf	R
EC30_contigs	<=1/19	0-1.0	S
EC31_contigs	>=8/152	8.0-Inf	R
EC34_contigs	>=8/152	8.0-Inf	R
EC36_contigs	>=8/152	8.0-Inf	R
EC53_contigs	<=1/19	0-1.0	S
EC68_contigs	>=8/152	8.0-Inf	R
EC72_contigs	>=8/152	8.0-Inf	R
EC73_contigs	>=8/152	8.0-Inf	R
EC75_contigs	>=8/152	8.0-Inf	R
EC76_contigs	>=8/152	8.0-Inf	R
EC90_contigs	<=1/19	0-1.0	S
EC9_contigs	>=8/152	8.0-Inf	R
