taxid	cftx_mic	cftx_int	cftx_cat
EC112_contigs	<=0.5	0-0.5	S
EC119_contigs	<=0.5	0-0.5	S
EC143_contigs	2	2.0-2.0	R
EC153_contigs	>=4	4.0-Inf	R
EC15_contigs	<=0.5	0-0.5	S
EC16_contigs	<=0.5	0-0.5	S
EC174_contigs	<=0.5	0-0.5	S
EC17_contigs	<=0.5	0-0.5	S
EC19_contigs	<=0.5	0-0.5	S
EC21_contigs	<=0.5	0-0.5	S
EC223_contigs	<=0.5	0-0.5	S
EC227_contigs	<=0.5	0-0.5	S
EC26_contigs	<=0.5	0-0.5	S
EC30_contigs	>=4	4.0-Inf	R
EC31_contigs	<=0.5	0-0.5	S
EC34_contigs	<=0.5	0-0.5	S
EC36_contigs	<=0.5	0-0.5	S
EC53_contigs	2	2.0-2.0	R
EC68_contigs	>=4	4.0-Inf	R
EC72_contigs	>=4	4.0-Inf	R
EC73_contigs	<=0.5	0-0.5	S
EC75_contigs	<=0.5	0-0.5	S
EC76_contigs	<=0.5	0-0.5	S
EC90_contigs	<=0.5	0-0.5	S
EC9_contigs	>=4	4.0-Inf	R
