taxid	cipr_mic	cipr_int	cipr_cat
EC112_contigs	<=0.5	0-0.5	S
EC119_contigs	<=0.5	0-0.5	S
EC143_contigs	<=0.5	0-0.5	S
EC153_contigs	<=0.5	0-0.5	S
EC15_contigs	>=8	8.0-Inf	R
EC16_contigs	>=8	8.0-Inf	R
EC174_contigs	>=8	8.0-Inf	R
EC17_contigs	<=0.5	0-0.5	S
EC19_contigs	>=8	8.0-Inf	R
EC21_contigs	>=8	8.0-Inf	R
EC223_contigs	<=0.5	0-0.5	S
EC227_contigs	>=8	8.0-Inf	R
EC26_contigs	<=0.5	0-0.5	S
EC30_contigs	>=8	8.0-Inf	R
EC31_contigs	>=8	8.0-Inf	R
EC34_contigs	<=0.5	0-0.5	S
EC36_contigs	<=0.5	0-0.5	S
EC53_contigs	<=0.5	0-0.5	S
EC68_contigs	>=8	8.0-Inf	R
EC72_contigs	>=8	8.0-Inf	R
EC73_contigs	>=8	8.0-Inf	R
EC75_contigs	>=8	8.0-Inf	R
EC76_contigs	<=0.5	0-0.5	S
EC90_contigs	>=8	8.0-Inf	R
EC9_contigs	>=8	8.0-Inf	R
